context,question,answer
القاهرة هي عاصمة مصر وتعد أكبر مدنها من حيث عدد السكان.,ما هي عاصمة مصر؟,القاهرة
نهر النيل هو أطول نهر في العالم ويمر عبر عدة دول أفريقية.,ما هو أطول نهر في العالم؟,نهر النيل
الذكاء الاصطناعي هو مجال من مجالات علوم الحاسب يهتم ببناء أنظمة قادرة على التعلم واتخاذ القرار.,بماذا يهتم الذكاء الاصطناعي؟,ببناء أنظمة قادرة على التعلم واتخاذ القرار
جامعة الإسكندرية من الجامعات المصرية العريقة وتقع في مدينة الإسكندرية.,أين تقع جامعة الإسكندرية؟,في مدينة الإسكندرية
الطاقة الشمسية تعتبر من أهم مصادر الطاقة المتجددة لأنها نظيفة ومستدامة.,لماذا تعتبر الطاقة الشمسية مهمة؟,لأنها نظيفة ومستدامة
بايثون لغة برمجة مشهورة تستخدم في تحليل البيانات وتطوير تطبيقات الذكاء الاصطناعي.,في ماذا تستخدم بايثون؟,في تحليل البيانات وتطوير تطبيقات الذكاء الاصطناعي
الإسكندرية مدينة ساحلية مصرية تقع على البحر المتوسط وتشتهر بمكتبتها التاريخية.,على أي بحر تقع الإسكندرية؟,البحر المتوسط
تعتمد عملية تعلم الآلة على البيانات والخوارزميات من أجل اكتشاف الأنماط وتحسين التنبؤات.,على ماذا تعتمد عملية تعلم الآلة؟,على البيانات والخوارزميات
الأقصر من أهم المدن السياحية في مصر وتضم معابد وآثارا فرعونية شهيرة.,لماذا تعد الأقصر مدينة مهمة سياحيا؟,لأنها تضم معابد وآثارا فرعونية شهيرة
تساعد قواعد البيانات في تخزين المعلومات وتنظيمها واسترجاعها بكفاءة.,ما فائدة قواعد البيانات؟,تخزين المعلومات وتنظيمها واسترجاعها بكفاءة
تستخدم الشبكات العصبية في مجالات متعددة مثل التعرف على الصور ومعالجة اللغة الطبيعية.,في أي مجالات تستخدم الشبكات العصبية؟,التعرف على الصور ومعالجة اللغة الطبيعية
يعد تعلم البرمجة مهارة مهمة لأنه يساعد على حل المشكلات وبناء تطبيقات مفيدة.,لماذا يعد تعلم البرمجة مهما؟,لأنه يساعد على حل المشكلات وبناء تطبيقات مفيدة
